Name	Set 	ImageFile	Type	Color	Sub Types	Cost	CMC	Power	Toughness	Rarity	Trim	Text
Ewok - Token	STW	Ewok-Token.png	TOKEN	G				1	1	T	Ewok-Token	
Ewok Ambush	STW	EwokAmbush.png	Instant	G		2G	3			U	EwokAmbush	Destroy target permanent.  Its controller puts three 1/1 green Ewok creatures onto the battlefield.
Exogorth	STW	Exogorth.png	Creature	G	Slug	5GG	7	7	7	U	Exogorth	Flash, Reach, Exogorth can block creatures with spaceflight.
Ferocity of the Underworld	STW	FerocityoftheUnderworld.png	Instant	GRB		GRB	3			U	FerocityoftheUnderworld	Choose one -- -Return target card from your graveyard to your hand.  -Destroy target nonland permanent with converted mana cost 3 or less.  -Copy target instant or sorcery spell.  You may choose new targets for the copy.
Flames of Rememberance	STW	FlamesofRememberance.png	Enchantment	R		R	1			R	FlamesofRememberance	At the beginning of your upkeep, you may exile a card from your graveyard.  If you do, put a charge counter on Flames of Rememberance.  Sacrifice Flames of Rememberance: Exile the top X cards of your library, where X is the number of charge counters on Flames of Rememberance.  Until end of turn you may play cards exiled this way.
Force Lightning	STW	ForceLightning.png	Sorcery	R		XRR	2			R	ForceLightning	Force Lighting deals X damage to target creature or player.  Scry X.
Force Mastery	STW	ForceMastery.png	Enchantment	GWU		3GWU	6			R	ForceMastery	At the beginning of your upkeep, reveal the top card of your library and put that card into your hand.  You gain life equal to its converted mana cost.
Force Scream	STW	ForceScream.png	Sorcery	R		2R	3			U	ForceScream	Force Scream deals 2 damage to each creature and each player.  Scry 1.
Forest I	STW	ForestI.png	Basic, Land	C	Forest					C	ForestI	
Forest II	STW	ForestII.png	Basic, Land	C	Forest					C	ForestII	
Forest III	STW	ForestIII.png	Basic, Land	C	Forest					C	ForestIII	
Fulfill Contract	STW	FulfillContract.png	Instant	B		3B	4			U	FulfillContract	Put a bounty counter on target creature an opponent controls.  Destroy target creature.
Gamorrean Prison Guard	STW	GamorreanPrisonGuard.png	Creature	R	Gamorrean, Warrior	R	1	2	1	U	GamorreanPrisonGuard	Whenever a creature enters the battlefield under an opponenet's control, Gamorrean Prison Guard fights that creature.
General Grievous	STW	GeneralGrievous.png	Legendary, Artifact, Creature	WUB	Kaleesh	WUB	3	2	2	M	GeneralGrievous	Double Strike  Whenever another creature dies, you may put a +1/+1 counter on General Grievous.  Remove two +1/+1 counters from General Grievous: Return General Grievous to its owner's hand.
Grand Moff Tarkin	STW	GrandMoffTarkin.png	Legendary, Creature	B	Human, Advisor	3B	4	2	2	R	GrandMoffTarkin	At the beginning of each opponent's upkeep, destroy target creature that player controls unless that player pays 2 life.  If a player pays life this way, draw a card.
Greater Kryat Dragon	STW	GreaterKryatDragon.png	Creature	RGW	Dragon	2RGW	5	6	6	M	GreaterKryatDragon	Trample, XXRGW: Monstrosity X  When Greater Krayt Dragon becomes monstrous, draw a card for each +1/+1 counter on creatures you control.
Greedo	STW	Greedo.png	Legendary, Creature	BRG	Rodian, Hunter	BRG	3	6	4	R	Greedo	Creatures blocking or blocked by Greedo have first strike.  Bounty -- Whenever a creature an opponent controls with a bounty counter on it dies, Greedo gains first strike until end of turn.
Gruesome Testing	STW	GruesomeTesting.png	Enchantment	G		G	1			U	GruesomeTesting	Creatures you control have XXG: Monstrosity X.
Gundark	STW	Gundark.png	Creature	R	Beast	R	1	1	1	U	Gundark	Haste  4R: Monstrosity 3.  When Gundark becomes monstrous, it gets +2/+2 until end of turn.
Han Solo	STW	HanSolo.png	Legendary, Creature	R	Human, Rebel	3R	4	4	3	R	HanSolo	First Strike  At the beginning of each combat, target Starship you control gets +2/+2 and gains haste until end of turn.
Hot Persuit	STW	HotPersuit.png	Enchantment	RBG		RGB	3			R	HotPersuit	Each creature your opponents control with a bounty counter on it gets -1/-1.  Bounty -- Whenever a creature an opponent controls with a bounty counter on it dies, you may put a bounty counter on target creature an opponent controls.
Hoth-Base Commando	STW	Hoth-BaseCommando.png	Creature	GW	Human, Rebel	1GW	3	3	3	R	Hoth-BaseCommando	Activated abilities of creatures you control cost 1 less to activate.  This cannot reduce the amount of mana an ability costs to activate to less than 1.  Activated abilities of creatures your opponents control cost 1 more to activate.
Hunt to Extinction	STW	HunttoExtinction.png	Sorcery	BRG		XBRG	3			R	HunttoExtinction	Put a bounty counter on up to one target creature an opponent controls.  Hunt to Extinction deals X damage to each creature.  Hunt to Extinction deals an additional X damage to each creature with a bounty counter on it.
Hutt Crime Lord	STW	HuttCrimeLord.png	Creature	G	Hutt, Rogue	2GG	4	5	5	U	HuttCrimeLord	Hutt Crime Lord enters the battlefield with a bounty counter on it.
Images of the Past	STW	ImagesofthePast.png	Enchantment	GWU		GWU				R	ImagesofthePast	When Images of the Past enters the battlefield, exile target creature card from your graveyard.  At the beginning of your upkeep, return a card exiled with Images of the Past to the battlefield under your control, then exile that card.
Imperial Spy	STW	ImperialSpy.png	Creature	U	Kubaz, Rogue	1U	2	1	1	U	ImperialSpy	1B, T: Look at the top card of target player's library.  You may put that card into that player's graveyard.
Iron Fist of the Empire	STW	IronFistoftheEmpire.png	Enchantment	RBU		RBU	3			R	IronFistoftheEmpire	Hate -- At the beginning of each end step, if an opponent lost life from a source other than combat damage this turn, put a 2/2 red Soldier creature token with prowess named Royal Guard onto the battlefield.
Island I	STW	IslandI.png	Basic, Land	C	Island					C	IslandI	
Island II	STW	IslandII.png	Basic, Land	C	Island					C	IslandII	
Island III	STW	IslandIII.png	Basic, Land	C	Island					C	IslandIII	
Jabba, The Hutt	STW	JabbaTheHutt.png	Planeswalker	BRG	Jabba	2BRG	5			M	Jabba,TheHutt	Bounty -- Whenever a creature an opponent controls with a bounty counter on it dies, put a loyalty counter on Jabba.  (+1): You may put a bounty counter on up to one target creature an opponent controls.  (-2): Jabba deals 3 damage divided as you choose among one, two, or three target creatures and/or players.  (-8): You get an emblem with "At the beginning of your upkeep, you may destroy target creature with a bounty counter on it."
Jabba's Palace	STW	Jabba'sPalace.png	Land	C						U	Jabba'sPalace	Jabba's Palace enters the battlefield tapped.  When Jabba's Palace enters the battlefield, add R to your mana pool.  T: Add B or G to your mana pool.
Jango Fett	STW	JangoFett.png	Legendary, Creature	R	Human, Hunter	2RR	4	2	2	R	JangoFett	Flying, Haste, Whenever Jango Fett attacks, put a bounty counter on target creature an opponent controls.  Whenever Jango Fett attacks, it deals X damage to defending player and target creature he or she controls, where X is the number of creatures defending player controls with a bounty counter on them.
Jar Jar Binks	STW	JarJarBinks.png	Legendary, Creature	U	Gungan	2U	3	1	1	R	JarJarBinks	Jar Jar Binks can't block.  When Jar Jar Binks enters the battlefield, an opponent gains control of it.  At the beginning of combat on your turn, tap the creature you control with the highest power.  If two or more creatures are tied for the greatest power, you choose one of them.
Jedi battle Healer	STW	JedibattleHealer.png	Creature	W	Mirialan, Jedi	2W	3	2	3	U	JedibattleHealer	Lifelink  When Jedi Battle Healer enters the battlefield, gain 3 life.  Meditate 1W
Jedi Battle Mage	STW	JediBattleMage.png	Creature	U	Human, Jedi	3U	4	2	5	U	JediBattleMage	When Jedi Battle Mage enters the battlefield, tap target creature an oppnonent controls.  That creature doesn't untap during its controller's next untap step.  Meditate 1U
Jedi Battle Sage	STW	JediBattleSage.png	Creature	G	Sullustan, Jedi	3G	4	3	3	U	JediBattleSage	Flash  When Jedi Battle Sage enters the battlefield, target creature gets +2/+2 until end of turn.  Meditate 1G
Jedi Enclave	STW	JediEnclave.png	Land	C						C	JediEnclave	T: Add C to your mana pool.  T: Sacrifice Jedi Enclave: Search your library for a basic Forest, Plains, or Island card and put it onto the battlefield tapped.  Then shuffle your library.
Jedi Knight	STW	JediKnight.png	Creature	GWU	Human, Jedi, Kight	GWU	3	3	3	U	JediKnight	When Jedi Knight leaves the battlefield, return target nonland permanent to its owner's hand.  Meditate 1U
Jedi Mind Trick	STW	JediMindTrick.png	Enchantment	U	Aura	2UU	4			R	JediMindTrick	Enchant non-Jedi, non-Sith creature.  You control enchanted creature.
Jedi Starfighter	STW	JediStarfighter.png	Artifact, Creature	W	Starship, Jedi	3W	4	2	2	U	JediStarfighter	Spaceflight  When Jedi Starfighter enters the battlefield, target creature gains spaceflight until end of turn.  Meditate 1W
Jedi Temple	STW	JediTemple.png	Land	C						U	JediTemple	Jedi Temple enters the battlefield tapped.  When Jedi Temple enters the battlefield, add W to your mana pool.  T: Add G or U to your mana pool.
Jedi Training	STW	JediTraining.png	Enchantment	U		2U	3			U	JediTraining	Jedi spells you cast cost 1 less to cast.  Meditate costs you pay cost 1 less.  Whenever a Jedi you control meditates, draw a card.
Jungle Village	STW	JungleVillage.png	Land	C						C	JungleVillage	T: Add C to your mana pool.  T: Sacrifice Jungle Village: Search your library for a basic Mountain, Forest, or Plains card and put it onto the battlefield tapped.  Then shuffle your library.
Kamino Cloning Facility	STW	KaminoCloningFacility.png	Land	C						R	KaminoCloningFacility	T: Add C to your mana pool.  T: Add one mana of any color to your mana pool.  Spend this mana only to cast a Trooper spell.  5, T: Put a 1/1 white Trooper creature token onto the battlefield.
LAAT Gunship	STW	LAATGunship.png	Artifact, Creature	W	Starship	4W	5	2	3	U	LAATGunship	Flying, Whenever LAAT Gunship attacks, put a 1/1 white Trooper creature token onto the battlefield.  2W: LAAT Gunship loses flying and gains spaceflight until end of turn.
Lando Calrissian	STW	LandoCalrissian.png	Legendary, Creature	W	Human, Rebel	3W	4	4	3	R	LandoCalrissian	Prowess, At the beginning of each combat, target Starship you control gets +2/+2 and gains vigilance until end of turn.
Legacy of the Beloved	STW	LegacyoftheBeloved.png	Sorcery	G		3GG	5			R	LegacyoftheBeloved	As an additional cost to cast Legacy of the Beloved, sacrifice a creature.  Search your library for up to two creature cards that each have a lower converted mana cost than the sacrificed creatures's and put them onto the battlefield, then shuffle your library.
Life Drain	STW	LifeDrain.png	Instant	UB		3UB	5			U	LifeDrain	Counter target spell.  Target creature gets -X/-X until end of turn, where X is that spell's converted mana cost.
Lightning Bolt	STW	LightningBolt.png	Instant	R		R	1			U	LightningBolt	Lightning Bolt deals 3 damage to target creature or player.
Luke Skywalker	STW	LukeSkywalker.png	Legendary, Creature	GWU	Human, Jedi	GWU	3	2	2	M	LukeSkywalker	Lifelink, Vigilance, WHenever another creature enters the battlefield under your control, put a +1/+1 counter on Luke Skywalker.  Remove all +1/+1 counters from Luke Skywalker: Luke Skywalker gains hexproof until end of turn.
Mace Windu	STW	MaceWindu.png	Legendary, Creature	B	Human, Jedi	3BB	5	2	3	R	MaceWindu	Flash, when Mace Windu enters the battlefield, return target spell or permanent to its owner's hand.  Meditate 1U
Maintenance Droid	STW	MaintenanceDroid.png	Artifact, Creature	WUB	Droid	WUB	3	3	3	U	MaintenanceDroid	Whenever a repair counter is removed from an exiled card you own, target player loses 1 life and you gain 1 life.  Repair 2
Maintenance Hangar	STW	MaintenanceHangar.png	Enchantment	W		2W	3			U	MaintenanceHangar	At the beginning of your upkeep, remove an additional repair counter from each exiled card you own.  Starships you control have repair 6.
March of the Droids	STW	MarchoftheDroids.png	Sorcery	WUB		WUB	3			R	MarchoftheDroids	Remove all repair counters from each exiled card you own.  You may cast each card with a repair counter removed this way without paying its mana cost until end of turn.  Draw a card.
Might of the Wild	STW	MightoftheWild.png	Instant	RGW		RGW	3			U	MightoftheWild	
Millenium Falcon	STW	MilleniumFalcon.png	Legendary, Artifact, Creature	GWU	Starship	2GWU	5	4	3	R	MilleniumFalcon	
Miraculous Recovery	STW	MiraculousRecovery.png	Instant	W		4W	5			U	MiraculousRecovery	
Moisture Farm	STW	MoistureFarm.png	Land	C						U	MoistureFarm	
Mountain I	STW	MountainI.png	Basic, Land	C	Mountain					C	MountainI	
Mountain II	STW	MountainII.png	Basic, Land	C	Mountain					C	MountainII	
Mountain III	STW	MountainIII.png	Basic, Land	C	Mountain					C	MountainIII	
Mouse Droid	STW	MouseDroid.png	Artifact, Creature	B	Droid	1B	2	0	1	U	MouseDroid	
Naboo Royal Starship	STW	NabooRoyalStarship.png	Artifact, Creature	B	Starship	3BB	5	3	4	U	NabooRoyalStarship	
Nexu Stalker	STW	NexuStalker.png	Creature	G	Beast	2G	3	1	2	U	NexuStalker	
Nute Gunray	STW	NuteGunray.png	Legendary, Creature	WUB	Neimoidian	1WUB	4	2	3	R	NuteGunray	
Obi-Wan Kenobi	STW	Obi-WanKenobi.png	Legendary, Creature	GUB	Human, Jedi	2GUB	5	5	5	R	Obi-WanKenobi	
Order 66	STW	Order66.png	Sorcery	B		7BB	9			R	Order66	
Plains I	STW	PlainsI.png	Basic, Land	C	Plains					C	PlainsI	
Plains II	STW	PlainsII.png	Basic, Land	C	Plains					C	PlainsII	
Plains III	STW	PlainsIII.png	Basic, Land	C	Plains					C	PlainsIII	
Plo Koon	STW	PloKoon.png	Legendary, Creature	W	KelDor, Jedi	4W	5	4	4	R	PloKoon	
Primal Instinct	STW	PrimalInstinct.png	Instant	RG		1RG	3			U	PrimalInstinct	
Princess Leia	STW	PrincessLeia.png	Legendary, Creature	GWB	Human, Rebel	3GWB	6	2	2	R	PrincessLeia	
Private Contract	STW	PrivateContract.png	Enchantment	B		1B	2			U	PrivateContract	
Qui-Gon Jinn	STW	Qui-GonJinn.png	Legendary, Creature	G	Human, Jedi	4GG	6	5	5	R	Qui-GonJinn	
Ravenous Wampa	STW	RavenousWampa.png	Creature	R	Wampa	2RR	4	4	4	U	RavenousWampa	
Rebel - Token	STW	Rebel-Token.png	TOKEN	W	Rebel			1	1	T	Rebel-Token	
Riding Ronto	STW	RidingRonto.png	Creature	W	Beast	3W	4	2	4	U	RidingRonto	
Rocket Trooper	STW	RocketTrooper.png	Creature	R	Human, Trooper	1R	2	2	2	R	RocketTrooper	
Rogue's Passage	STW	Rogue'sPassage.png	Land	C						U	Rogue'sPassage	
Royal Guard - Token	STW	RoyalGuard-Token.png	TOKEN	R	Soldier			2	2	T	RoyalGuard-Token	
Rule of Two	STW	RuleofTwo.png	Enchantment	B		2BB	4			U	RuleofTwo	
Rumor Monger	STW	RumorMonger.png	Creature	BRG	Arcona, Hunter	2BRG	5	3	3	U	RumorMonger	
Sabacc Game	STW	SabaccGame.png	Sorcery	B		1B	2			U	SabaccGame	
Salacious B Crumb	STW	SalaciousBCrumb.png	Legendary, Creature	BRG	Beast	BRG	3	2	2	R	SalaciousBCrumb	
Sarlacc Pit	STW	SarlaccPit.png	Creature	RG	Beast	RG	2	0	4	R	SarlaccPit	
Senator Bail Organa	STW	SenatorBailOrgana.png	Legendary, Creature	GW	Human, Advisor	GW	2	2	2	U	SenatorBailOrgana	
Senator Lott Dod	STW	SenatorLottDod.png	Legendary, Creature	UB	Neimoidian, Advisor	UB	2	2	2	U	SenatorLottDod	
Senator Onaconda Farr	STW	SenatorOnacondaFarr.png	Legendary, Creature	RG	Rodian, Advisor	RG	2	2	2	U	SenatorOnacondaFarr	
Senator Padme Amidala	STW	SenatorPadmeAmidala.png	Legendary, Creature	WU	Human, Advisor	WU	2	2	2	U	SenatorPadmeAmidala	
Senator Passel Argente	STW	SenatorPasselArgente.png	Legendary, Creature	RB	Koorivar Advisor	RB	2	2	2	U	SenatorPasselArgente	
Shmi Skywalker	STW	ShmiSkywalker.png	Legendary, Creature	W	Human	3W	4	0	4	R	ShmiSkywalker	
Shock Trooper	STW	ShockTrooper.png	Creature	R	Human, Trooper	3R	4	2	2	U	ShockTrooper	Trooper creatures you control get +2/+0.
Show of Dominance	STW	ShowofDominance.png	Sorcery							U	ShowofDominance	Put four +1/+1 counters on the creature with highest power. If two or more creatures are tied for the greatest power, you choose one of them. That creature gains trample until end of turn.
Sith Assassin	STW	SithAssassin.png	Creature	B	Pureblood, Sith	2B	3	3	2	U	SithAssassin	Hate- When Sith Assassin enters the battlefield, if an opponenet lost life from a source other than combat damage this turn, destroy target creature.
Sith Citadel	STW	SithCitadel.png	Land	C						U	SithCitadel	Sith Citadel enters the battlefield tapped. When Sith Citadel enters the battlefield, add B to your mana pool. T: Add U or R to your mana pool.
Sith Lord	STW	SithLord.png	Creature	B	Human, Sith	2BB	4	3	3	R	SithLord	Hate- When Sith Lord enters the battlefield, if an opponenet lost life from a source other than combat damage this turn, destroy target creature. Put X +1/+1 counters on Sith Lord, where X is that creature's power.
Sith Magic	STW	SithMagic.png	Enchantment	URB		URB	3			R	SithMagic	Hate- At the beginning of each combat, if an opponenet lost life from a source other than combat damage this turn, return target creature card from a graveyard to the battlefield under your control. It gains lifelink and haste. Exhile it at the beginning of the next end step or if it would leave the battlefield.
Sith Manipulator	STW	SithManipulator.png	Creature	U	Human, Sith	3U	4	2	2	U	SithManipulator	When Sith Manipulator enters the battlefield, return target target creature to its owner's hand. Hate- If an opponenet lost life from a source other than combat damage this turn, put that card on top of its owners library instead.
Sith Marauder	STW	SithMarauder.png	Creature	R	Human, Sith	4R	5	5	5	U	SithMarauder	Hate- When Sith Marauder enters the battlefield, if an opponenet lost life from a source other than combat damage this turn, Sith marauder deals 3 damage to target creature or player.
Sith MindSeer	STW	SithMindSeer.png	Creature	UBR	Human, Sith	UBR	3	3	3	U	SithMindSeer	Hate - When Sith Mindseer enters the battlefield, if an opponenet lost life from a source other than combat damage this turn, gain control of target creature for as long as sith mindseer remains on the battlefield.
Sith Ruins	STW	SithRuins.png	Land	C						C	SithRuins	T: Add C to your mana pool. T, Sacrifice Sith Ruins: Search your library for a basic Island, Swamp, or Mountain card and put it onto the battlefield tapped. Then shuffle your library.
Slave I	STW	SlaveI.png	Legendary, Artifact, Creature	BRG	Starship	BRG	3	3	3	R	SlaveI	Spaceflight When Slace I enters the battlefield, put a bounty counter on target creature an opponent controls. Bounty
Snow Trooper	STW	SnowTrooper.png	Creature	W	Human, Trooper	2W	3	2	2	U	SnowTrooper	Troopers creatures you control have first strike
Star Destroyer	STW	StarDestroyer.png	Artifact, Creature	UBR	Starship	4UBR	7	6	6	R	StarDestroyer	Spaceflight 3U: Draw a card. 2B: Put a 1/1 black Starship artifact creature token with spaceflight named TIE Fighter onto the battlefield. 2R: Star Destroyer deals 2 damage to target creature or player.
Surprise Maneuver	STW	SurpriseManeuver.png	Instant	U		2U	3			U	SurpriseManeuver	Untap all creatures you control. Creatures your opponents control get -2/-0 until end of turn.
Swamp I	STW	SwampI.png	Basic, Land	C	Swamp					C	SwampI	
Swamp II	STW	SwampII.png	Basic, Land	C	Swamp					C	SwampII	
Swamp III	STW	SwampIII.png	Basic, Land	C	Swamp					C	SwampIII	
Tank Droid	STW	TankDroid.png	Artifact, Creature	WUB	Droid	4WUB	7	5	5	R	TankDroid	Whenever Tank Droid enters the battlefield, attacks, blacks or dies, put a 1/1 colorless Battle Droid artifact creature token onto the battlefield. Repair 3
Terentatek	STW	Terentatek.png	Creature	RGW	Beast	4RGW	7	3	3	R	Terentatek	Trample Terentatek enters the battlefield with a +1/+1 counter on it for each creature your opponents control. Remove all +1/+1 counters from Terentatek: Terentatek gains haste and get +2/+2 until end of turn for each counter removed this way.
The Battle of Endor	STW	TheBattleofEndor.png	Sorcery	G		XXGGG	3			M	TheBattleofEndor	Put X 1/1 green Ewok creature tokens onto the battlefield. Put X +1/+1 counters on each creature you control. Creatures you control gain trample until end of turn.
The Battle of Geonosis	STW	TheBattleofGeonosis.png	Sorcery	R		XXRR	2			M	TheBattleofGeonosis	The Battle of Geonosis deals X damage to each opponent and each creature you don't control. Creatures you control get +X/+0 until end of turn.
The Battle of Hoth	STW	TheBattleofHoth.png	Sorcery	W		XXWWW	3			M	TheBattleofHoth	Put X 4/4 white artifact AT-AT creature tokens onto the battlefield with "When this creature dies, put three 1/1 white Trooper creature tokens onto the battlefield."
The Battle of Naboo	STW	TheBattleofNaboo.png	Sorcery	U		XXU	2			M	TheBattleofNaboo	Return X target creatures to their owner's hands. Draw X cards.
The Battle of Yavin	STW	TheBattleofYavin.png	Sorcery	B		XXB	1			M	TheBattleofYavin	For each nonland permanent target opponent controls, that player sacrifices it unless he or she pays X life
The Death Star	STW	TheDeathStar.png	Legendary, Land	C						M	TheDeathStar	T: Add C to your mana pool. 2, T: Put a charge counter on The Death Star. T, Remove three charge counters from The Death Star: Destroy target permanent. T, Remove ten charge counters from The Death Star: Destroy target player.
Tie Fighter - Token	STW	TieFighter-Token.png	TOKEN	C	Starship			1	1	T	TieFighter-Token	Spaceflight
Trade Federation Battleship	STW	TradeFederationBattleship.png	Artifact, Creature	WUB	Starship	3WUB	6	0	5	R	TradeFederationBattleship	Spaceflight Droid creatures you control get +1/+1 T: Put two 1/1 colorless Battle Droid artifact creature tokens onto the battlefield.
Tri-Fighter	STW	Tri-Fighter.png	Artifact, Creature	B	Droid, Starship	3B	4	3	2	U	Tri-Fighter	Spaceflight Repair 3
Trooper - Token	STW	Trooper-Token.png	TOKEN	W	Trooper			1	1	T	Trooper-Token	
Trooper Commando	STW	TrooperCommando.png	Creature	G	Human, Trooper	2G	3	3	3	U	TrooperCommando	Trooper creatures you control have trample
Tusken Raider - Token	STW	TuskenRaider-Token.png	TOKEN	W	Tusken, Raider			1	1	T	TuskenRaider-Token	
Ugnaught Scrap Worker	STW	UgnaughtScrapWorker.png	Creature	U	Ugnaught, Artificer	U	1	1	1	U	UgnaughtScrapWorker	1, T, Sacrifice an artifact: Draw a card.
Unconditional Love	STW	UnconditionalLove.png	Enchantment	GW	Aura	GW	2			U	UnconditionalLove	Enchanted creature gets +1/+1 and has vigilance. Whever enchanted creature attacks, put a 1/1 green Ewok token onto the battlefield tapped and attacking. Whenever enchanted creature blocks a creature, put a 1/1 green Ewok token onto the battlefield blocking that creature.
Underworld SLums	STW	UnderworldSLums.png	Land	C						C	UnderworldSLums	T: Add C to your mana pool. T, Sacrifice Underworld Slums: Search your library for a basic Swamp, Mountain, or Forest card and put it onto the battlefield apped. Then shuffle your library.
Unity of the Droids 	STW	UnityoftheDroids.png	Instant	WUB		WUB	3			U	UnityoftheDroids	Choose one-- -Destroy target nonartifact creature. -Target creature gets +2/+2 and gains lifelink until end of turn. -Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
Unruly Sureshot	STW	UnrulySureshot.png	Creature	B	Human, Hunter	4B	5	4	4	B	UnrulySureshot	When Unruly Sureshot enters the battlefield, put a bounty counter on target creature an opponent controls. 3R: Unruly Sureshot deals 2 damage to target creature with a bounty counter on it.
Watto	STW	Watto.png	Legendary, Creature	WUB	Toydarian, Artificer	WUB	3	2	2	R	Watto	Flying T, Sacrifice an artifact: Return target nonland card from your graveyard to your hand. T: Remove a repair counter from each exiled card you own.
Weequay Beastmaster	STW	WeequayBeastmaster.png	Creature	R	Weequay, Shaman	1R	2	2	1	U	WeequayBeastmaster	Monstrosity costs you pay cost 2 less. Whenever a creature you control becomes monstrous, put an additional +1/+1 counter on that creature.
Wicket	STW	Wicket.png	Planeswalker	RGW	Wicket	RGW	3		2	M	Wicket	(+1):Put a 1/1 green ewok token onto the battlefield. (-X):Target creature gets +X/+X and gains double strike until end of turn. (-6):You get an emblem with "Creatures you control have trample and get +X/+X, where X is the number of creatures you control."
Wisdom of the Jedi	STW	WisdomoftheJedi.png	Instant	GWU		GWU	3			U	WisdomoftheJedi	Choose one-- -Counter target creature spell. -Prevent all damage that would be dealt to players this turn. -Put a +1/+1 counter on target creature you control. It gains protection from the color of your choice until end of turn
Yoda, Jedi Master	STW	YodaJediMaster.png	Planeswalker	GWU	Yoda	2GWU	5		4	M	Yoda,JediMaster	(+1):Exhile another target permanent. Return that card to the battlefield under its owner's controll at the beginning of its controller's next end step.(-1):Reveal the top card of your library and put that card into you hand. You gain life equal to its converted mana cost. (-8): You get an emblem with "At the beginning of your upkeep, exhile target permanent. Gain life equal to its converted mana cost, you do."
Zam Wesell	STW	ZamWesell.png	Legendary, Creature	U	Shapshifter, Hunter	2UU	4	2	2	R	ZamWesell	When you cast Zam Wesell, target opponent reveals his or her hand. You may choose a creature card from it and have Zam Wesell enter the battlefield as a copy of that creature card.
